operacion;estado;t_ini;t_fin;puerto_maquina;busqueda;tipo_busqueda;cant_resultados;tamano_respuesta_bytes;edad;ranking;database
busqueda en db;success;2025-05-11 17:28:51.364625;2025-05-11 17:28:51.364625;8007;tecnologia;tipo_doc;;;53;18.04;tecnologia
busqueda en db;success;2025-05-11 17:28:51.365630;2025-05-11 17:28:51.365630;8007;tecnologia;tipo_doc;;;53;18.92;tecnologia
busqueda en db;success;2025-05-11 17:28:51.365630;2025-05-11 17:28:51.365630;8007;tecnologia;tipo_doc;;;53;17.16;tecnologia
busqueda en db;success;2025-05-11 17:28:51.366623;2025-05-11 17:28:51.366623;8007;tecnologia;tipo_doc;;;53;17.6;tecnologia
busqueda en db;success;2025-05-11 17:28:51.366623;2025-05-11 17:28:51.366623;8007;tecnologia;tipo_doc;;;53;16.28;tecnologia
mandar_resultados_a_master;success;2025-05-11 17:28:51.361690;2025-05-11 17:28:51.366623;8007;tecnologia;tipo_doc;10;88;53;;
busqueda en db;success;2025-05-11 17:29:16.819946;2025-05-11 17:29:16.819946;8007;romance;tipo_doc;;;32;19.387;romance
busqueda en db;success;2025-05-11 17:29:16.819946;2025-05-11 17:29:16.819946;8007;romance;tipo_doc;;;32;18.975;romance
busqueda en db;success;2025-05-11 17:29:16.820950;2025-05-11 17:29:16.820950;8007;romance;tipo_doc;;;32;17.738;romance
busqueda en db;success;2025-05-11 17:29:16.820950;2025-05-11 17:29:16.820950;8007;romance;tipo_doc;;;32;18.562;romance
busqueda en db;success;2025-05-11 17:29:16.821946;2025-05-11 17:29:16.821946;8007;romance;tipo_doc;;;32;18.15;romance
